MobileId,priceRange,processor,display,primarycamera,battery,frontcamera
XOLO Q2500 2014_april,5699,Dual core,"6.0"" (15.24 cm)",8 MP,3000 mAh,2 MP
Panasonic Eluga Z 2015_july,6499,Octa core,"5.0"" (12.7 cm)",13 MP,2050 mAh,5 MP
"Asus Zenfone 2 ZE550ML (2GB RAM, HD, 16GB, 1.8GHz) 2015_april",13999,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Micromax X610 2015_august,1244,Quad core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,5 MP
Sony Xperia E1 Dual 2014_march,6790,Dual core,"4.0"" (10.16 cm)",3.1 MP,1750 mAh,5 MP
Monix Ginger G5001 DRAGAON 2015_november,6500,Single core,"4.7"" (11.94 cm)",5 MP,1850 mAh,2 MP
Micromax Canvas Doodle 3 2014_april,6990,Dual core,"6.0"" (15.24 cm)",5 MP,2500 mAh,0.3 MP
Aiek M3 2015_april,2179,Dual core,"1.0"" (2.54 cm)",5 MP,300 mAh,0.3 MP
Spice Xlife Dragon 2015_december,3799,Dual core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
Micromax Bolt S301 2015_july,2099,Single core,"3.5"" (8.89 cm)",1.3 MP,1200 mAh,0.3 MP
Lenovo A536 2014_september,7006,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Micromax Canvas A1 2014_september,6200,Quad core,"4.5"" (11.43 cm)",5 MP,1700 mAh,2 MP
iBall Andi Avonte 5 2015_june,3999,Quad core,"5.0"" (12.7 cm)",8 MP,2150 mAh,2 MP
Apple iPhone 5 64GB 2012_september,45999,Dual core,"4"" (10.16 cm)",8 MP,1440 mAh,1.2 MP
Intex Flash P1 2015_september,1303,Dual core,"2.8"" (7.11 cm)",0.3 MP,3000 mAh,1.2 MP
Intex Flip X8 2016_february,1540,Dual core,"2.8"" (7.11 cm)",0.3 MP,1800 mAh,1.2 MP
Panasonic P65 Flash 2015_october,5390,Quad core,"5.5"" (13.97 cm)",8 MP,2910 mAh,2 MP
Lava Iris Atom 2 2015_august,2949,Quad core,"4.5"" (11.43 cm)",5 MP,1750 mAh,0.3 MP
Micromax Bolt Q331 2015_september,5300,Quad core,"5"" (12.7 cm)",5 MP,2000 mAh,2 MP
Spice Style 275 2015_september,1249,Quad core,"2.8"" (7.11 cm)",1.3 MP,1500 mAh,2 MP
Intex Aqua Ace Mini 2016_march,6990,Quad core,"5.0"" (12.7 cm)",8 MP,3000 mAh,5 MP
Lenovo P780 2013_june,7490,Quad core,"5"" (12.7 cm)",8 MP,4000 mAh,0.3 MP
Micromax Bolt Q332 2015_october,4135,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Kult 10 2015_december,6299,Quad core,"5.0"" (12.7 cm)",13 MP,2350 mAh,5 MP
Blackberry Q5 2013_june,12990,Dual core,"3.1"" (7.87 cm)",5 MP,2180 mAh,2 MP
Asus Zenfone Go ZC451TG 2015_december,4999,Quad core,"4.5"" (11.43 cm)",5 MP,1600 mAh,0.3 MP
Micromax X605 2015_august,1077,Quad core,"2.4"" (6.1 cm)",0.3 MP,1000 mAh,0.3 MP
Chilli H2 2016_january,4450,Quad core,"5.0"" (12.7 cm)",8 MP,2450 mAh,5 MP
Micromax Canvas Selfie 2 Q340 2015_august,4790,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,5 MP
Gionee GPad G5 2014_september,9500,Hexa Core,"5.5"" (13.97 cm)",8 MP,2400 mAh,2 MP
Intex Cloud 3G Gem 2016_january,2389,Single core,"4.0"" (10.16 cm)",2 MP,1400 mAh,0.3 MP
Intex Ultra 2400 2015_september,1220,Single core,"2.4"" (6.1 cm)",0.3 MP,2350 mAh,0.3 MP
Lenovo A269i 2013_october,3599,Dual core,"3.5"" (8.89 cm)",2 MP,1300 mAh,0.3 MP
Apple iPhone 6s Plus 128GB 2015_october,69800,Dual core,"5.5"" (13.97 cm)",12 MP,2750 mAh,5 MP
Apple iPhone 6s 128GB 2015_october,59800,Dual core,"4.7"" (11.94 cm)",12 MP,1715 mAh,5 MP
Asus Zenfone 2 Laser ZE500KL 2015_august,11800,Quad core,"5.0"" (12.7 cm)",13 MP,2070 mAh,5 MP
Micromax Canvas Turbo A250 2013_october,11999,Quad core,"5"" (12.7 cm)",13 MP,2000 mAh,5 MP
Nokia Asha 300 2011_december,3999,Quad core,"2.4"" (6.1 cm)",5 MP,1110 mAh,5 MP
Micromax GC318 2015_december,1710,Quad core,"2.4"" (6.1 cm)",0.3 MP,1200 mAh,5 MP
HTC Desire 816G 2015 2015_february,12999,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,5 MP
Gionee Elife E6 2013_july,9999,Quad core,"5"" (12.7 cm)",13 MP,2000 mAh,5 MP
Micromax Canvas 2 A110 2012_november,11999,Dual core,"5"" (12.7 cm)",8 MP,2000 mAh,0.3 MP
Samsung E1207 2012_october,1645,Dual core,"1.5"" (3.81 cm)",8 MP,800 mAh,0.3 MP
Spice Flo 40 Twist 2015_july,1499,Dual core,"4.0"" (10.16 cm)",2 MP,1100 mAh,0.3 MP
XOLO Omega 5.5 2014_december,5999,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,2 MP
LG G4 Stylus 3G 2016_january,11994,Octa core,"5.7"" (14.48 cm)",8 MP,3000 mAh,5 MP
Lava Iris Fuel F1 2015_october,8700,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,2 MP
Videocon Virat V3AB 2016_march,1049,Quad core,"2.8"" (7.11 cm)",1.3 MP,1500 mAh,2 MP
White Cherry MI1 2015_june,3299,Quad core,"4"" (10.16 cm)",5 MP,1500 mAh,2 MP
Reliance ZTE D286 2014_february,1898,Quad core,"2.4"" (6.1 cm)",1.3 MP,1000 mAh,2 MP
Intex Aqua Power 2014_december,6999,Octa core,"5.0"" (12.7 cm)",8 MP,4000 mAh,2 MP
Micromax Canvas Fire 2 A104 2014_july,7999,Quad core,"4.5"" (11.43 cm)",5 MP,1900 mAh,0.3 MP
Apple iPhone 5c 32GB 2013_november,50000,Dual core,"4.0"" (10.16 cm)",8 MP,1510 mAh,1.2 MP
VOX Mobile DV 20 2014_august,1751,Dual core,"3.5"" (8.89 cm)",3.2 MP,1200 mAh,1.3 MP
Intex Cloud Flash 2015_december,7890,Octa core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
Oppo Joy Plus 2015_april,5830,Dual core,"4.0"" (10.16 cm)",3 MP,1700 mAh,0.3 MP
Gionee CTRL V4S 2014_september,6675,Quad core,"4.5"" (11.43 cm)",8 MP,1800 mAh,2 MP
Micromax X853 2015_october,1766,Quad core,"3.5"" (8.89 cm)",0.3 MP,1000 mAh,2 MP
Micromax Bolt A24 2014_january,1899,Single core,"2.8"" (7.11 cm)",0.3 MP,1350 mAh,2 MP
Asus Zenfone C ZC451CG 2015_february,5499,Dual core,"4.5"" (11.43 cm)",5 MP,2100 mAh,0.3 MP
Karbonn A81 2015_april,2499,Single core,"4.0"" (10.16 cm)",3 MP,1400 mAh,0.3 MP
Micromax Canvas Fire 3 A096 2015_may,5499,Quad core,"4.5"" (11.43 cm)",5 MP,1850 mAh,2 MP
Reliance ZTE Q301C 2015_october,4999,Quad core,"5.0"" (12.7 cm)",5 MP,1650 mAh,0.3 MP
LG Spirit 2015_april,5311,Quad core,"4.7"" (11.94 cm)",8 MP,2100 mAh,1 MP
LG G Flex 2013_november,26990,Quad core,"6.0"" (15.24 cm)",13 MP,3500 mAh,2.1 MP
XOLO Q2000L 2014_june,4499,Quad core,"5.5"" (13.97 cm)",8 MP,2500 mAh,2 MP
Samsung Galaxy Trend Duos 2013_september,6499,Single core,"4"" (10.16 cm)",3 MP,1500 mAh,2 MP
Intex Flip X2 2016_january,1249,Single core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,2 MP
Wiko Highway 2014_september,6292,Octa core,"5.0"" (12.7 cm)",16 MP,2350 mAh,8 MP
M-Tech Turbo L9 2016_march,3900,Quad core,"5.0"" (12.7 cm)",3.2 MP,2000 mAh,1.3 MP
Micromax X912 2016_march,1700,Quad core,"2.8"" (7.11 cm)",0.3 MP,1750 mAh,1.3 MP
Panasonic Eluga S Mini 2015_june,4411,Octa core,"4.7"" (11.94 cm)",8 MP,1980 mAh,5 MP
VOX Mobile V5555 2014_january,1751,Octa core,"4.0"" (10.16 cm)",1.3 MP,1300 mAh,0.3 MP
Sony Xperia SP 2013_april,16999,Dual core,"4.6"" (11.68 cm)",8 MP,2370 mAh,0.3 MP
Intex Turbo S1 2015_february,1282,Dual core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,0.3 MP
Panasonic P61 2014_july,11999,Quad core,"6.0"" (15.24 cm)",8 MP,2800 mAh,2 MP
Karbonn Aura 1GB RAM 2016_january,3099,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Celkon Q58 Explore 2015_august,5999,Quad core,"5.0"" (12.7 cm)",13 MP,2000 mAh,8 MP
Nokia C5-00 5MP 2011_july,9999,Quad core,"2.2"" (5.59 cm)",5 MP,1050 mAh,0.3 MP
Intex Force ZX 2015_september,1195,Quad core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,0.3 MP
Lenovo RocStar A319 2014_october,4892,Dual core,"4.0"" (10.16 cm)",5 MP,1500 mAh,2 MP
Micromax Bolt A069 2014_july,5499,Dual core,"5.0"" (12.7 cm)",5 MP,1800 mAh,2 MP
UNI N6200 2015_august,1751,Dual core,"5.0"" (12.7 cm)",2 MP,1400 mAh,0.3 MP
Lava KKT 28i 2016_january,1399,Dual core,"2.8"" (7.11 cm)",1.3 MP,1800 mAh,0.3 MP
Micromax Bolt A065 2014_august,3599,Dual core,"4.0"" (10.16 cm)",2 MP,2000 mAh,0.3 MP
Lava Magnum X604 2014_july,5999,Quad core,"6.0"" (15.24 cm)",8 MP,2800 mAh,2 MP
iBall Andi 5K Infinito2 2015_august,10580,Octa core,"5.0"" (12.7 cm)",13 MP,4000 mAh,2 MP
Panasonic T40 2014_october,5189,Quad core,"4.0"" (10.16 cm)",5 MP,1500 mAh,2 MP
Nokia Asha 308 2012_december,9000,Quad core,"3"" (7.62 cm)",2 MP,1110 mAh,2 MP
Gfive President G6 Plus 2016_march,14993,Quad core,"5.0"" (12.7 cm)",5 MP,1800 mAh,2 MP
Panasonic P31 2014_march,3990,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,0.3 MP
Epoch ES350 2015_december,2200,Dual core,"3.5"" (8.89 cm)",3 MP,2500 mAh,1.3 MP
Samsung Galaxy Star 2 2014_july,4590,Single core,"3.5"" (8.89 cm)",2 MP,1300 mAh,1.3 MP
Google Nexus 6P Special Edition 2015_december,35998,Octa core,"5.7"" (14.48 cm)",12.3 MP,3450 mAh,8 MP
Karbonn Titanium Dazzle 3 S204 2015_july,4749,Quad core,"5.0"" (12.7 cm)",8 MP,1750 mAh,2 MP
Zen Ultrafone 109 2015_may,1999,Single core,"3.5"" (8.89 cm)",2 MP,1200 mAh,0.3 MP
Micromax Bolt Q338 2015_september,4500,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,5 MP
Spice Stellar 518 2014_october,6900,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,1.3 MP
Karbonn T9 2016_february,1499,Quad core,"2.4"" (6.1 cm)",1.3 MP,950 mAh,1.3 MP
Zen M81 2015_june,2044,Quad core,"2.4"" (6.1 cm)",1.3 MP,1800 mAh,1.3 MP
HTC Desire 526G Plus 8GB 2015_january,6449,Octa core,"4.7"" (11.94 cm)",8 MP,2000 mAh,2 MP
Blackberry Porsche Design P9983 2014_march,57800,Dual core,"3.1"" (7.87 cm)",8 MP,2100 mAh,2 MP
Zen M72 2011_july,1249,Dual core,"2.4"" (6.1 cm)",1.3 MP,1800 mAh,2 MP
Gionee Elife E7 Mini 2014_april,9600,Octa core,"4.7"" (11.94 cm)",13 MP,2200 mAh,2 MP
Spice Xlife 410 3G 2015_november,2029,Dual core,"4.0"" (10.16 cm)",2 MP,1400 mAh,0.3 MP
Lava X3 2016_january,5799,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,5 MP
Samsung Galaxy Ace NXT 2014_july,5545,Single core,"4.0"" (10.16 cm)",3 MP,1500 mAh,5 MP
Nokia Lumia 820 2013_january,10852,Dual core,"4.3"" (10.92 cm)",8.7 MP,1650 mAh,0.3 MP
Jivi JV N9003 2015_december,1277,Dual core,"2.4"" (6.1 cm)",1.3 MP,3000 mAh,0.3 MP
Sony Xperia E3 2014_september,9290,Quad core,"4.5"" (11.43 cm)",5 MP,2330 mAh,0.3 MP
Oppo Joy 2014_may,6300,Dual core,"4.0"" (10.16 cm)",3 MP,1700 mAh,0.3 MP
Micromax X602 2015_december,1209,Dual core,"2.4"" (6.1 cm)",0.3 MP,1000 mAh,0.3 MP
HTC Desire U 2013_june,11649,Dual core,"4"" (10.16 cm)",5 MP,1650 mAh,0.3 MP
Penta Smart PS650 2013_november,3799,Dual core,"6.5"" (16.51 cm)",2 MP,2500 mAh,0.3 MP
Lava Iris X1 Atom 4GB 2015_april,4400,Quad core,"4.0"" (10.16 cm)",5 MP,1750 mAh,0.3 MP
Trio T8 Star 2016_february,1299,Quad core,"2.4"" (6.1 cm)",1.3 MP,1000 mAh,0.3 MP
Nokia Lumia 510 2012_november,9900,Single core,"4"" (10.16 cm)",5 MP,1300 mAh,0.3 MP
Nokia Lumia 630 Dual 2014_may,7249,Quad core,"4.5"" (11.43 cm)",5 MP,1830 mAh,0.3 MP
Karbonn Sparkle V 2014_september,3399,Quad core,"4.5"" (11.43 cm)",5 MP,1700 mAh,2 MP
Micromax X699 2015_december,1700,Quad core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,2 MP
Videocon V1572 2015_january,1095,Quad core,"2.8"" (7.11 cm)",1.3 MP,1800 mAh,2 MP
Spice Xlife 405 2015_october,1799,Single core,"4.0"" (10.16 cm)",2 MP,1300 mAh,1.3 MP
Panasonic Love T10 2015_august,2589,Dual core,"3.5"" (8.89 cm)",2 MP,1400 mAh,0.3 MP
Gionee Pioneer P3S 2015_october,5765,Quad core,"4.50"" (11.43 cm)",5 MP,2000 mAh,0.3 MP
Sony Xperia E 2013_march,9999,Single core,"3.5"" (8.89 cm)",3.2 MP,1530 mAh,0.3 MP
Intex Aqua Play 2015_november,2149,Dual core,"4.0"" (10.16 cm)",0.3 MP,1400 mAh,0.3 MP
Panasonic T41 4GB 2014_july,3483,Quad core,"4.5"" (11.43 cm)",5 MP,1650 mAh,0.3 MP
LG G Flex 2 16GB 2015_april,27990,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,2.1 MP
LG G2 16GB 2013_september,29990,Quad core,"5.2"" (13.21 cm)",13 MP,3000 mAh,2.1 MP
LG Optimus G Pro 2013_april,19999,Quad core,"5.5"" (13.97 cm)",13 MP,3140 mAh,2.1 MP
iBall Andi 5F Infinito 2015_april,4999,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,3.2 MP
Oppo R1 2013_december,15900,Quad core,"5.0"" (12.7 cm)",8 MP,2410 mAh,5 MP
Apple iPhone 6 Plus 128GB 2014_october,59999,Dual core,"5.5"" (13.97 cm)",8 MP,2915 mAh,1.2 MP
Intex Aqua Twist 2016_march,4090,Quad core,"5.0"" (12.7 cm)",5 MP,2200 mAh,1.2 MP
Micromax X2820 2015_january,4999,Quad core,"2.8"" (7.11 cm)",2 MP,1150 mAh,0.3 MP
Panasonic Eluga I 2014_november,5990,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
BLU Life Mark 2016_february,8000,Quad core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
VOX Mobile Kick K3 2014_december,1699,Dual core,"3.5"" (8.89 cm)",0.3 MP,1200 mAh,0.3 MP
BQ S38 2014_september,2814,Dual core,"4.0"" (10.16 cm)",3 MP,1500 mAh,1.3 MP
Swipe Konnect 4 2014_june,2590,Dual core,"4.0"" (10.16 cm)",3.2 MP,1500 mAh,0.3 MP
Motorola Moto X (Wood Back) 2014_april,20792,Dual core,"4.7"" (11.94 cm)",10 MP,2200 mAh,2 MP
Videocon V2EB1 2016_march,1138,Dual core,"2.4"" (6.1 cm)",0.3 MP,3000 mAh,2 MP
Micromax A177 Canvas Juice 2014_march,6914,Dual core,"5.0"" (12.7 cm)",5 MP,3000 mAh,0.3 MP
Micromax Bolt D320 2015_april,3500,Dual core,"4.5"" (11.43 cm)",3.2 MP,1600 mAh,0.3 MP
LG G Pro Lite Dual 2013_october,9999,Dual core,"5.5"" (13.97 cm)",8 MP,3140 mAh,1.3 MP
Gionee GPad G3 4GB 2013_october,6749,Quad core,"5.5"" (13.97 cm)",5 MP,2250 mAh,0.3 MP
Videocon Infinium Z41 Lite Plus 2015_august,2199,Single core,"4.0"" (10.16 cm)",3.2 MP,1400 mAh,0.3 MP
Swipe Marathon 8GB 2015_september,3999,Dual core,"4.5"" (11.43 cm)",5 MP,4000 mAh,0.3 MP
Intex Aqua Star 2 16GB 2015_july,5490,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,5 MP
Lava KKT 40 Power 2015_january,1700,Quad core,"2.4"" (6.1 cm)",0.3 MP,2700 mAh,5 MP
i-smart IS-57i Mercury V7 2015_october,3990,Quad core,"5"" (12.7 cm)",8 MP,2100 mAh,3.2 MP
HTC Desire 310 2014_march,6490,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,0.3 MP
Gfive President A98 2016_march,2999,Quad core,"5.0"" (12.7 cm)",5 MP,1850 mAh,2 MP
Zen Z8 DJ 2015_september,1299,Quad core,"2.4"" (6.1 cm)",1.3 MP,2800 mAh,2 MP
Intex Aqua 4.5e 2015_january,2599,Dual core,"4.5"" (11.43 cm)",5 MP,1600 mAh,2 MP
LG L70 Dual 2014_march,10500,Dual core,"4.5"" (11.43 cm)",5 MP,2100 mAh,0.3 MP
XOLO Prime 2015_may,3999,Quad core,"4.5"" (11.43 cm)",5 MP,1800 mAh,0.3 MP
Lava Iris Atom 3 2015_december,3249,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
iBall Andi 5.5H Weber 2015_december,4850,Quad core,"5.5"" (13.97 cm)",5 MP,2200 mAh,2 MP
Spice Xlife M46Q 2015_december,3999,Quad core,"4.5"" (11.43 cm)",5 MP,1600 mAh,3.2 MP
Karbonn K55 Star 2015_july,1299,Quad core,"2.4"" (6.1 cm)",1.3 MP,1500 mAh,3.2 MP
Micromax Bolt D303 2015_june,3249,Dual core,"4.0"" (10.16 cm)",3.2 MP,1300 mAh,0.3 MP
Champion My Phone 43 2015_april,2299,Quad core,"4.0"" (10.16 cm)",5 MP,1300 mAh,2 MP
Micromax X800 2016_january,1440,Quad core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,2 MP
Karbonn K40 2014_december,1413,Quad core,"2.4"" (6.1 cm)",1.3 MP,2800 mAh,2 MP
Lenovo S660 2014_april,7999,Quad core,"4.7"" (11.94 cm)",8 MP,3000 mAh,0.3 MP
LG L90 Dual 2014_march,12810,Quad core,"4.7"" (11.94 cm)",8 MP,2540 mAh,1.3 MP
Karbonn Machone Titanium S310 2015_january,5000,Quad core,"4.7"" (11.94 cm)",8 MP,1800 mAh,5 MP
Samsung Galaxy Y Duos 2012_february,10902,Single core,"3.1"" (7.87 cm)",3.2 MP,1300 mAh,5 MP
Blackberry Bold Touch 9900 2011_august,7900,Single core,"2.8"" (7.11 cm)",5 MP,1230 mAh,5 MP
Celkon Millennia 2GB Xpress 2015_july,3999,Quad core,"4.5"" (11.43 cm)",5 MP,1500 mAh,1.3 MP
Intex Aqua Life III 2015_september,3999,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,0.3 MP
Huawei Ascend G6 2014_june,12889,Quad core,"4.5"" (11.43 cm)",8 MP,2000 mAh,5 MP
HTC Desire 501 2013_december,17490,Dual core,"4.3"" (10.92 cm)",8 MP,2100 mAh,2.1 MP
Zen Cinemax Click 2016_january,5999,Quad core,"5.5"" (13.97 cm)",8 MP,2700 mAh,5 MP
XOLO 8X-1000 2014_august,7999,Octa core,"5.0"" (12.7 cm)",8 MP,1920 mAh,2 MP
iBall Andi Cobalt Solus 4G 2015_september,7999,Quad core,"5.0"" (12.7 cm)",13 MP,2000 mAh,8 MP
Micromax X344 2014_november,1349,Quad core,"2.8"" (7.11 cm)",0.8 MP,1400 mAh,8 MP
Jivi JV X9300 2014_september,1195,Quad core,"2.4"" (6.1 cm)",0.3 MP,3000 mAh,8 MP
Nokia X Plus 2014_may,7390,Dual core,"4.0"" (10.16 cm)",3 MP,1500 mAh,8 MP
XOLO A1010 2015_february,19999,Dual core,"5.0"" (12.7 cm)",5 MP,2500 mAh,0.3 MP
Intex Aqua Star 2 8GB 2015_february,5499,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,5 MP
iBall Shaan 3.2H Biggy 2016_january,1999,Quad core,"3.2"" (8.13 cm)",0.3 MP,1450 mAh,5 MP
LG Max 2015_august,10706,Quad core,"5.0"" (12.7 cm)",5 MP,2540 mAh,5 MP
Huawei Ascend G610 2014_january,9999,Quad core,"5.0"" (12.7 cm)",5 MP,2150 mAh,0.3 MP
Reliance Lava C180 2015_september,1568,Quad core,"1.8"" (4.57 cm)",0.3 MP,1000 mAh,0.3 MP
Micromax Joy X597 2015_september,1049,Quad core,"1.7"" (4.32 cm)",0.3 MP,1800 mAh,0.3 MP
Panasonic GD31 2014_july,1777,Quad core,"2.8"" (7.11 cm)",2 MP,1100 mAh,0.3 MP
Micromax Bolt D200 2015_may,3199,Dual core,"3.5"" (8.89 cm)",0.3 MP,1200 mAh,0.3 MP
Micromax Bolt Q324 2015_february,4199,Quad core,"4.0"" (10.16 cm)",2 MP,1450 mAh,0.3 MP
Jivi JV X1515 2014_october,1850,Quad core,"3.5"" (8.89 cm)",2 MP,1350 mAh,0.3 MP
LG L Bello 2014_september,8999,Quad core,"5"" (12.7 cm)",8 MP,2540 mAh,1 MP
Sony Xperia tipo dual 2012_september,10000,Single core,"3.2"" (8.13 cm)",3.2 MP,1500 mAh,1 MP
Lava KKT Uno Plus 2015_june,1349,Single core,"2.4"" (6.1 cm)",1.3 MP,1700 mAh,1 MP
Celkon C2233 2016_march,1319,Single core,"2.4"" (6.1 cm)",1.3 MP,1800 mAh,1 MP
Blackberry Curve 9220 2012_may,8200,Single core,"2.44"" (6.2 cm)",2 MP,1450 mAh,1 MP
Microsoft 105 Dual SIM 2015_september,1399,Single core,"1.4"" (3.56 cm)",2 MP,800 mAh,1 MP
Intex Killer 3 2015_may,1102,Single core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,1 MP
XOLO Q2100 2014_october,7999,Quad core,"5.5"" (13.97 cm)",8 MP,2800 mAh,2 MP
LG L80 2014_may,17500,Dual core,"5.0"" (12.7 cm)",5 MP,2540 mAh,0.3 MP
Karbonn Titanium Dazzle S202 2015_may,5490,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Videocon V1524 Plus 2015_february,1000,Quad core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,2 MP
Reliance Lava EG932 2015_january,5999,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,0.3 MP
Lenovo A328 2014_september,4790,Quad core,"4.8"" (12.19 cm)",5 MP,2000 mAh,2 MP
Micromax Canvas Win W121 2014_july,4899,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
Nokia Lumia 530 Dual SIM 2014_august,5490,Quad core,"4.0"" (10.16 cm)",5 MP,1430 mAh,2 MP
Intex Aqua Air 2015_november,3930,Dual core,"5.0"" (12.7 cm)",2 MP,2300 mAh,0.3 MP
Intex Aqua Y2 Pro 2014_october,4790,Dual core,"4.5"" (11.43 cm)",5 MP,1600 mAh,0.3 MP
Zen Z9 Bijli 2016_january,1239,Dual core,"2.4"" (6.1 cm)",1.3 MP,2800 mAh,0.3 MP
Karbonn Kphone 1 2013_may,1099,Dual core,"2.4"" (6.1 cm)",1.3 MP,1400 mAh,0.3 MP
Spice Mi-401 2015_january,1799,Single core,"4.0"" (10.16 cm)",2 MP,1300 mAh,1.3 MP
Karbonn K595 2012_february,1299,Single core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,0.3 MP
Intex Nova FM 2015_september,1349,Single core,"2.4"" (6.1 cm)",0.3 MP,1400 mAh,0.3 MP
Nokia E72 2009_october,8499,Single core,"2.4"" (6.1 cm)",5 MP,1500 mAh,0.3 MP
Micromax X849 2015_november,1290,Single core,"3.0"" (7.62 cm)",0.3 MP,1450 mAh,0.3 MP
iBall Andi Sprinter 4G 2015_november,5499,Quad core,"5.0"" (12.7 cm)",8 MP,2100 mAh,3.2 MP
Jivi JV C300 2014_october,1185,Quad core,"1.8"" (4.57 cm)",8 MP,1000 mAh,3.2 MP
Karbonn K44 Plus 2014_june,1090,Quad core,"1.8"" (4.57 cm)",0.3 MP,1800 mAh,3.2 MP
Karbonn A19 2014_february,4444,Dual core,"5.0"" (12.7 cm)",8 MP,1600 mAh,0.3 MP
Micromax X716 2016_march,1198,Dual core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,0.3 MP
Micromax Canvas HD Plus A190 2014_july,4999,Hexa Core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
Videocon V1554 2015_november,1000,Hexa Core,"2.4"" (6.1 cm)",0.3 MP,1600 mAh,2 MP
Huawei Ascend Mate 2013_march,26910,Quad core,"6.1"" (15.49 cm)",8 MP,4050 mAh,1 MP
Videocon Infinium Z55 Krypton 2016_january,6070,Quad core,"5.0"" (12.7 cm)",13 MP,2200 mAh,5 MP
Lava Iris Atom 2X 2015_november,3499,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,0.3 MP
Micromax X2050 2014_november,1299,Quad core,"2.0"" (5.08 cm)",0.8 MP,950 mAh,0.3 MP
A&K A1111 2015_january,1890,Quad core,"5.0"" (12.7 cm)",3 MP,1800 mAh,0.3 MP
Samsung Galaxy Ace Duos S6802 2012_june,3999,Quad core,"3.5"" (8.89 cm)",5 MP,1300 mAh,0.3 MP
Intex Turbo S3 2015_september,1565,Quad core,"2.4"" (6.1 cm)",0.3 MP,1750 mAh,0.3 MP
Nuvo Alpha NS35 2015_may,2429,Single core,"3.5"" (8.89 cm)",3.2 MP,1400 mAh,1.3 MP
Reach Cogent 2016_march,2649,Quad core,"4.0"" (10.16 cm)",3.2 MP,2000 mAh,1.3 MP
Micromax X806 2015_november,1249,Quad core,"2.4"" (6.1 cm)",0.3 MP,1800 mAh,1.3 MP
Nokia E52 2009_july,7000,Quad core,"2.4"" (6.1 cm)",3.2 MP,1500 mAh,0.1 MP
Nokia 5070 2007_march,2499,Quad core,"2.4"" (6.1 cm)",0.3 MP,1500 mAh,0.1 MP
Lava KKT 28 Plus 2015_june,1479,Quad core,"2.8"" (7.11 cm)",1.3 MP,1800 mAh,0.1 MP
Lenovo A850 2013_october,7490,Quad core,"5.5"" (13.97 cm)",5 MP,2250 mAh,0.3 MP
Trio T40 2014_october,1999,Dual core,"4.0"" (10.16 cm)",3.2 MP,1500 mAh,0.3 MP
Salora Njoy X E8 2015_may,4399,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,3.2 MP
Micromax X2401 2015_january,1589,Quad core,"2.4"" (6.1 cm)",2 MP,1000 mAh,0.3 MP
XOLO One 2014_october,5498,Quad core,"4.5"" (11.43 cm)",5 MP,1700 mAh,0.3 MP
XOLO Cube 5.0 2GB 2015_july,8999,Quad core,"5.0"" (12.7 cm)",8 MP,2100 mAh,2 MP
